Restaurant_ID,Location,Cuisine,Cost_for_Two,Rating,Votes,Review_Keywords
REST-1000,Electronic City,North Indian,416,4.2,252,Average Experience
REST-1001,Whitefield,Chinese,709,4.4,129,Slow Delivery
REST-1002,Indiranagar,Continental,937,3.4,15,Bad Service
REST-1003,Indiranagar,South Indian,746,3.9,232,Average Experience
REST-1004,Indiranagar,Biryani,796,4.8,1876,Crowded
REST-1005,Whitefield,North Indian,529,3.3,170,"Bad Service, Slow Delivery"
REST-1006,Koramangala,Biryani,833,4.2,1514,Crowded
REST-1007,Whitefield,Biryani,540,3.5,15,Slow Delivery
REST-1008,HSR Layout,North Indian,202,4.6,745,"Crowded, Oily, Searching for Healthy"
REST-1009,Koramangala,Biryani,497,3.6,131,Average Experience
REST-1010,Whitefield,Chinese,580,3.7,22,Slow Delivery
REST-1011,Koramangala,South Indian,666,4.0,146,Average Experience
REST-1012,Whitefield,Biryani,503,4.3,84,Slow Delivery
REST-1013,Whitefield,North Indian,596,4.7,575,"Crowded, Slow Delivery"
REST-1014,Electronic City,South Indian,432,2.8,96,Bad Service
REST-1015,Koramangala,Chinese,638,3.1,55,Bad Service
REST-1016,Indiranagar,Continental,811,2.9,29,Bad Service
REST-1017,Jayanagar,North Indian,200,2.8,156,Bad Service
REST-1018,Koramangala,Biryani,1118,3.9,85,Average Experience
REST-1019,Koramangala,Healthy/Salad,745,3.9,130,Average Experience
REST-1020,Whitefield,Biryani,277,4.4,2169,"Crowded, Slow Delivery"
REST-1021,Koramangala,Chinese,1135,3.6,131,Average Experience
REST-1022,Jayanagar,Chinese,440,3.6,259,Average Experience
REST-1023,Indiranagar,Chinese,994,4.5,711,Crowded
REST-1024,Koramangala,South Indian,1102,3.5,7,Average Experience
REST-1025,Koramangala,Healthy/Salad,709,2.9,131,Bad Service
REST-1026,Koramangala,Healthy/Salad,723,3.4,215,Bad Service
REST-1027,Jayanagar,South Indian,657,3.7,177,Average Experience
REST-1028,Koramangala,Chinese,958,3.6,29,Average Experience
REST-1029,Koramangala,Healthy/Salad,1020,3.5,174,Average Experience
REST-1030,Indiranagar,Healthy/Salad,806,4.1,48,Average Experience
REST-1031,Koramangala,Chinese,949,3.9,23,Average Experience
REST-1032,HSR Layout,Chinese,200,4.3,1043,Crowded
REST-1033,Indiranagar,North Indian,701,2.9,166,Bad Service
REST-1034,Indiranagar,Biryani,996,3.6,181,Average Experience
REST-1035,Koramangala,Chinese,896,3.6,16,Average Experience
REST-1036,Koramangala,North Indian,982,3.9,251,Average Experience
REST-1037,Whitefield,Chinese,604,3.7,34,Slow Delivery
REST-1038,Whitefield,South Indian,200,4.2,1789,"Crowded, Slow Delivery"
REST-1039,Koramangala,Biryani,942,3.9,66,Average Experience
REST-1040,Indiranagar,Biryani,509,2.9,88,Bad Service
REST-1041,Indiranagar,Biryani,619,3.3,37,Bad Service
REST-1042,Koramangala,Chinese,963,3.7,52,Average Experience
REST-1043,Whitefield,Biryani,567,4.1,643,"Crowded, Slow Delivery"
REST-1044,Koramangala,Chinese,758,3.6,265,Average Experience
REST-1045,Koramangala,Continental,704,4.1,701,Crowded
REST-1046,Jayanagar,Healthy/Salad,200,3.9,27,Average Experience
REST-1047,Whitefield,Chinese,473,4.1,103,Slow Delivery
REST-1048,Indiranagar,North Indian,773,4.3,496,Average Experience
REST-1049,HSR Layout,North Indian,776,3.6,68,Oily
REST-1050,Koramangala,Biryani,662,4.0,59,Average Experience
REST-1051,Whitefield,North Indian,288,3.0,249,"Bad Service, Slow Delivery"
REST-1052,Koramangala,Chinese,867,4.7,1050,Crowded
REST-1053,Koramangala,North Indian,501,3.1,208,Bad Service
REST-1054,Koramangala,Chinese,567,4.0,222,Average Experience
REST-1055,Koramangala,South Indian,992,3.8,103,Average Experience
REST-1056,Indiranagar,Biryani,890,3.4,22,Bad Service
REST-1057,Koramangala,North Indian,480,3.1,69,Bad Service
REST-1058,Whitefield,North Indian,200,3.7,153,Slow Delivery
REST-1059,Electronic City,Continental,585,4.6,1568,Crowded
REST-1060,HSR Layout,Healthy/Salad,488,3.8,60,Average Experience
REST-1061,Koramangala,North Indian,843,3.2,109,Bad Service
REST-1062,HSR Layout,Chinese,200,4.0,44,Searching for Healthy
REST-1063,Indiranagar,South Indian,857,4.4,52,Average Experience
REST-1064,Indiranagar,North Indian,355,3.3,559,"Crowded, Bad Service"
REST-1065,Indiranagar,South Indian,605,3.0,107,Bad Service
REST-1066,Indiranagar,North Indian,783,4.9,5096,Crowded
REST-1067,Koramangala,North Indian,895,3.4,214,Bad Service
REST-1068,HSR Layout,Chinese,328,3.6,146,Searching for Healthy
REST-1069,Koramangala,Chinese,884,3.5,58,Average Experience
REST-1070,Koramangala,Continental,1023,3.2,98,Bad Service
REST-1071,Electronic City,Biryani,200,3.9,157,Average Experience
REST-1072,Electronic City,Continental,428,3.6,93,Average Experience
REST-1073,Indiranagar,Chinese,832,3.3,187,Bad Service
REST-1074,Indiranagar,South Indian,1004,3.4,61,Bad Service
REST-1075,Indiranagar,Continental,611,2.9,13,Bad Service
REST-1076,Koramangala,North Indian,951,3.5,57,Average Experience
REST-1077,Koramangala,North Indian,871,3.8,580,Crowded
REST-1078,Whitefield,North Indian,453,4.9,2308,"Crowded, Slow Delivery"
REST-1079,Jayanagar,Biryani,613,3.9,96,Average Experience
REST-1080,Koramangala,South Indian,497,3.4,92,Bad Service
REST-1081,Koramangala,Chinese,839,3.5,172,Average Experience
REST-1082,Koramangala,Healthy/Salad,732,3.9,24,Average Experience
REST-1083,HSR Layout,Chinese,497,3.5,67,Average Experience
REST-1084,Electronic City,Continental,499,4.9,1795,Crowded
REST-1085,Jayanagar,Healthy/Salad,430,3.6,88,Average Experience
REST-1086,Koramangala,Continental,833,4.2,1199,Crowded
